shortTitle,title,directory,filename
District 28,Maryland State Senate District 28,content/state-senate/district-28,_index.md
District 29,Maryland State Senate District 29,content/state-senate/district-29,_index.md
District 30,Maryland State Senate District 30,content/state-senate/district-30,_index.md
District 31,Maryland State Senate District 31,content/state-senate/district-31,_index.md
District 32,Maryland State Senate District 32,content/state-senate/district-32,_index.md
District 33,Maryland State Senate District 33,content/state-senate/district-33,_index.md
District 34,Maryland State Senate District 34,content/state-senate/district-34,_index.md
District 35,Maryland State Senate District 35,content/state-senate/district-35,_index.md
District 36,Maryland State Senate District 36,content/state-senate/district-36,_index.md
District 37,Maryland State Senate District 37,content/state-senate/district-37,_index.md
District 38,Maryland State Senate District 38,content/state-senate/district-38,_index.md
District 39,Maryland State Senate District 39,content/state-senate/district-39,_index.md
District 40,Maryland State Senate District 40,content/state-senate/district-40,_index.md
District 41,Maryland State Senate District 41,content/state-senate/district-41,_index.md
District 42,Maryland State Senate District 42,content/state-senate/district-42,_index.md
District 43,Maryland State Senate District 43,content/state-senate/district-43,_index.md
District 44,Maryland State Senate District 44,content/state-senate/district-44,_index.md
District 45,Maryland State Senate District 45,content/state-senate/district-45,_index.md
District 46,Maryland State Senate District 46,content/state-senate/district-46,_index.md
District 47,Maryland State Senate District 47,content/state-senate/district-47,_index.md
District 1,U.S. House of Representatives Maryland District 1,content/us-house/district-1,_index.md
District 2,U.S. House of Representatives Maryland District 2,content/us-house/district-2,_index.md
District 3,U.S. House of Representatives Maryland District 3,content/us-house/district-3,_index.md
District 4,U.S. House of Representatives Maryland District 4,content/us-house/district-4,_index.md
District 5,U.S. House of Representatives Maryland District 5,content/us-house/district-5,_index.md
District 6,U.S. House of Representatives Maryland District 6,content/us-house/district-6,_index.md
District 7,U.S. House of Representatives Maryland District 7,content/us-house/district-7,_index.md
District 8,U.S. House of Representatives Maryland District 8,content/us-house/district-8,_index.md
District 1,Anne Arundel County County Council District 1,content/anne-arundel-county/county-council/district-1,_index.md
District 2,Anne Arundel County County Council District 2,content/anne-arundel-county/county-council/district-2,_index.md
District 3,Anne Arundel County County Council District 3,content/anne-arundel-county/county-council/district-3,_index.md
District 4,Anne Arundel County County Council District 4,content/anne-arundel-county/county-council/district-4,_index.md
District 5,Anne Arundel County County Council District 5,content/anne-arundel-county/county-council/district-5,_index.md
District 6,Anne Arundel County County Council District 6,content/anne-arundel-county/county-council/district-6,_index.md
District 7,Anne Arundel County County Council District 7,content/anne-arundel-county/county-council/district-7,_index.md
District 1,Baltimore County County Council District 1,content/baltimore-county/county-council/district-1,_index.md
District 2,Baltimore County County Council District 2,content/baltimore-county/county-council/district-2,_index.md
District 3,Baltimore County County Council District 3,content/baltimore-county/county-council/district-3,_index.md
District 4,Baltimore County County Council District 4,content/baltimore-county/county-council/district-4,_index.md
District 5,Baltimore County County Council District 5,content/baltimore-county/county-council/district-5,_index.md
District 6,Baltimore County County Council District 6,content/baltimore-county/county-council/district-6,_index.md
District 7,Baltimore County County Council District 7,content/baltimore-county/county-council/district-7,_index.md
District 1,Carroll County County Commissioner District 1,content/carroll-county/county-commissioner/district-1,_index.md
District 2,Carroll County County Commissioner District 2,content/carroll-county/county-commissioner/district-2,_index.md
District 3,Carroll County County Commissioner District 3,content/carroll-county/county-commissioner/district-3,_index.md
District 4,Carroll County County Commissioner District 4,content/carroll-county/county-commissioner/district-4,_index.md
District 5,Carroll County County Commissioner District 5,content/carroll-county/county-commissioner/district-5,_index.md
District A,Harford County County Council District A,content/harford-county/county-council/district-a,_index.md
District B,Harford County County Council District B,content/harford-county/county-council/district-b,_index.md
District C,Harford County County Council District C,content/harford-county/county-council/district-c,_index.md
District D,Harford County County Council District D,content/harford-county/county-council/district-d,_index.md
District E,Harford County County Council District E,content/harford-county/county-council/district-e,_index.md
District F,Harford County County Council District F,content/harford-county/county-council/district-f,_index.md
District 1,Howard County County Council District 1,content/howard-county/county-council/district-1,_index.md
District 2,Howard County County Council District 2,content/howard-county/county-council/district-2,_index.md
District 3,Howard County County Council District 3,content/howard-county/county-council/district-3,_index.md
District 4,Howard County County Council District 4,content/howard-county/county-council/district-4,_index.md
District 5,Howard County County Council District 5,content/howard-county/county-council/district-5,_index.md
District 1,Anne Arundel County Board of Education District 1,content/anne-arundel-county/board-of-education/district-1,_index.md
District 2,Anne Arundel County Board of Education District 2,content/anne-arundel-county/board-of-education/district-2,_index.md
District 3,Anne Arundel County Board of Education District 3,content/anne-arundel-county/board-of-education/district-3,_index.md
District 4,Anne Arundel County Board of Education District 4,content/anne-arundel-county/board-of-education/district-4,_index.md
District 5,Anne Arundel County Board of Education District 5,content/anne-arundel-county/board-of-education/district-5,_index.md
District 6,Anne Arundel County Board of Education District 6,content/anne-arundel-county/board-of-education/district-6,_index.md
District 7,Anne Arundel County Board of Education District 7,content/anne-arundel-county/board-of-education/district-7,_index.md
District 1,Baltimore County Board of Education District 1,content/baltimore-county/board-of-education/district-1,_index.md
District 2,Baltimore County Board of Education District 2,content/baltimore-county/board-of-education/district-2,_index.md
District 3,Baltimore County Board of Education District 3,content/baltimore-county/board-of-education/district-3,_index.md
District 4,Baltimore County Board of Education District 4,content/baltimore-county/board-of-education/district-4,_index.md
District 5,Baltimore County Board of Education District 5,content/baltimore-county/board-of-education/district-5,_index.md
District 6,Baltimore County Board of Education District 6,content/baltimore-county/board-of-education/district-6,_index.md
District 7,Baltimore County Board of Education District 7,content/baltimore-county/board-of-education/district-7,_index.md
District A,Harford County Board of Education District A,content/harford-county/board-of-education/district-a,_index.md
District B,Harford County Board of Education District B,content/harford-county/board-of-education/district-b,_index.md
District C,Harford County Board of Education District C,content/harford-county/board-of-education/district-c,_index.md
District D,Harford County Board of Education District D,content/harford-county/board-of-education/district-d,_index.md
District E,Harford County Board of Education District E,content/harford-county/board-of-education/district-e,_index.md
District F,Harford County Board of Education District F,content/harford-county/board-of-education/district-f,_index.md
